genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.5 12.659822039698836
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.25 12.774811772758385
PRUNUS "KWANZAN FLOWERING CHERRY" 1 63 12.654346338124572
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 10.628336755646817
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 12.558521560574949
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.999315537303216
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.983572895277208
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 12.747433264887064
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.969883641341546
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.668035592060233
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.980835044490075
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.583162217659138
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.969883641341546
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.5 11.980835044490075
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10.5 11.978097193702943
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 11.983572895277208
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.980835044490075
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 17.78507871321013
PRUNUS "KWANZAN FLOWERING CHERRY" 1 8 11.75359342915811
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 11.978097193702943
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.980835044490075
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.967145790554415
